url,verdict,risk,details
https://www.dsci.in/blogs/wp-includes/css/classic-themes.min.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/latest_event_780x535/public/11th-Cybercrime-Awareness-Workshop-for-main.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/9th-Cybercrime-Awareness-Workshop-thumb.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/tehcnation_event_v3.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/130_140/public/idfc.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sectoral-privacy-project/wp-content/plugins/ninja-forms-conditionals/assets/js/min/front-end.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/130_140/public/Central_Bank_of_India.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/130_140/public/VAPTLOG(2).jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/image_preview Faisal_2.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://ccoe.dsci.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Sameer Ratolikar.JPG?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/Digintrude-logo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/events/best-practices-meet-2020/wp-content/plugins/teampress/css/collapsef658.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://blogs.dsci.in/wp-content/themes/ribosome/css/font-awesome-4.4.0/fonts/fontawesome-webfont.woff2?v=FUZZ,SAFE,Low,Static file extension detected (woff2)
https://www.dsci.in/sites/default/files/styles/130_140/public/BOBLOGO.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Srinivas Kollipara.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
